event_id,event_type,user_id,service,timestamp
evt-1001,PLAYBACK_STARTED,user001,playback,2026-07-25T20:10:00Z
evt-1002,PLAYBACK_COMPLETED,user002,playback,2026-07-25T20:10:05Z
evt-1003,LOGIN_SUCCESS,user003,auth,2026-07-25T20:10:10Z
evt-1004,VIDEO_ERROR,user004,playback,2026-07-25T20:10:15Z
evt-1005,RECOMMENDATION_REQUEST,user005,recommendation,2026-07-25T20:10:20Z
evt-1006,NOTIFICATION_SENT,user006,notification,2026-07-25T20:10:25Z
evt-1007,PLAYBACK_STARTED,user007,playback,2026-07-25T20:10:30Z
evt-1008,VIDEO_ERROR,user008,playback,2026-07-25T20:10:35Z
evt-1009,LOGIN_SUCCESS,user009,auth,2026-07-25T20:10:40Z
evt-1010,PLAYBACK_COMPLETED,user010,playback,2026-07-25T20:10:45Z
